Player,Nation,Squad,Pos,Age,Playing Time Min,Playing Time MP,Playing Time Starts,Performance Gls,Performance Ast,Performance CrdY,Performance CrdR,Expected xG,Expected xAG,Progression PrgC,Progression PrgP,Progression PrgR,Per 90 Minutes Gls,Per 90 Minutes Ast,Per 90 Minutes xG,Per 90 Minutes xAG,Performance GA90,Performance Save%,Performance CS%,Penalty Kicks Save%,Standard SoT%,Standard SoT/90,Standard G/Sh,Standard Dist,Total Cmp,Total Cmp%,Total TotDist,Short Cmp,Medium Cmp,Long Cmp,KP,Passing 1/3,PPA,CrsPA,PrgP,SCA,SCA SCA90,GCA,GCA GCA90,Tackles Tkl,Tackles TklW,Challenges Att,Challenges Lost,Blocks,Blocks Sh,Blocks Pass,Int,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Take-Ons Att,Take-Ons Succ%,Take-Ons Tkld%,Carries,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Performance Fls,Performance Fld,Performance Off,Performance Crs,Performance Recov,Aerial Duels Won,Aerial Duels Lost,Aerial Duels Won%
Aaron Cresswell,eng ENG,West Ham,DF,35-145,676.0,15,8,0,0,2,0,0.1,1.1,4,28,2,0.00,0.00,0.01,0.15,N/a,N/a,N/a,N/a,0.0,0.00,0.00,29.8,415,81.5,7803,189,173,51,7,43,4,1,28,12,1.60,0,0.00,9,5,9,2,9,4,5,8,576,39,227,281,73,1,2,50.0,50.0,228,398,4,7,0,3,0,353,2,3,2,0,28,29,7,6,53.8
Aaron Ramsdale,eng ENG,Southampton,GK,26-360,2430.0,27,27,0,0,2,0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,2.30,67.1,7.4,28.6,N/a,0.00,N/a,N/a,715,64.6,20052,199,276,234,0,33,1,0,0,3,0.11,0,0.00,0,0,2,2,0,0,0,2,1189,860,1166,26,0,0,0,N/a,N/a,723,2159,0,0,0,3,0,646,0,1,4,0,0,20,5,0,100.0
Aaron Wan-Bissaka,eng ENG,West Ham,DF,27-164,2884.0,33,32,2,3,1,0,1.2,3.2,101,132,150,0.06,0.09,0.04,0.10,N/a,N/a,N/a,N/a,31.3,0.16,0.13,15.1,1321,80.5,18817,846,411,46,30,89,32,11,132,85,2.65,8,0.25,64,45,27,7,32,9,23,60,2039,136,628,877,564,44,108,52.8,34.3,961,3383,101,59,13,31,21,1174,150,22,25,4,70,163,22,30,42.3
Abdoulaye Doucouré,ml MLI,Everton,MF,32-128,2425.0,30,29,3,1,5,1,3.9,2.3,40,78,91,0.11,0.04,0.14,0.09,N/a,N/a,N/a,N/a,31.0,0.33,0.10,13.8,676,79.6,10229,354,250,40,26,44,14,0,78,54,2.00,2,0.07,45,27,39,26,30,6,24,9,1090,31,218,502,385,59,43,53.5,46.5,571,1339,40,24,8,33,35,705,91,46,5,10,23,139,29,43,40.3
Abdukodir Khusanov,uz UZB,Manchester City,DF,21-069,503.0,6,6,0,0,1,0,0.0,0.1,1,25,2,0.00,0.00,0.00,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,23.9,360,91.1,6126,160,191,6,2,23,0,0,25,5,0.89,0,0.00,5,4,3,1,5,4,1,3,445,45,205,211,31,1,2,0.0,100.0,274,435,1,1,0,2,1,332,2,3,3,0,1,27,6,4,60.0
Abdul Fatawu Issahaku,gh GHA,Leicester City,FW,21-062,579.0,11,6,0,2,0,0,0.4,1.6,42,17,60,0.00,0.31,0.06,0.24,N/a,N/a,N/a,N/a,38.5,0.78,0.00,31.2,123,62.4,2150,59,45,16,6,7,7,2,17,17,2.64,3,0.47,21,15,19,8,7,0,7,4,326,19,73,114,157,26,69,42.0,40.6,217,1055,42,24,15,18,12,216,60,11,20,2,30,38,14,13,51.9
Adam Armstrong,eng ENG,Southampton,"FW,MF",28-088,1248.0,20,15,2,2,4,0,3.3,1.2,25,21,79,0.14,0.14,0.24,0.09,N/a,N/a,N/a,N/a,28.0,0.50,0.08,16.6,231,80.2,3320,138,81,6,9,10,8,2,21,19,1.37,4,0.29,12,3,14,11,6,1,5,3,377,11,44,143,192,49,14,42.9,57.1,235,599,25,13,6,11,18,286,79,12,5,9,14,23,5,9,35.7
Adam Lallana,eng ENG,Southampton,MF,36-364,361.0,14,5,0,2,4,0,0.2,0.9,6,24,10,0.00,0.50,0.04,0.23,N/a,N/a,N/a,N/a,0.0,0.00,0.00,18.1,221,85.0,2891,147,61,4,4,21,9,3,24,9,2.24,2,0.50,8,5,12,10,4,1,3,5,318,19,91,155,73,6,12,41.7,41.7,178,366,6,8,0,10,6,245,10,8,8,0,4,19,2,2,50.0
Adam Smith,eng ENG,Bournemouth,DF,34-010,1409.0,22,17,0,0,6,0,0.7,0.3,12,40,31,0.00,0.00,0.04,0.02,N/a,N/a,N/a,N/a,0.0,0.00,0.00,16.9,436,75.7,7088,213,182,27,7,41,8,5,40,20,1.28,2,0.13,21,10,25,13,12,5,7,14,707,39,217,332,162,6,15,40.0,40.0,305,585,12,15,0,10,6,333,31,15,11,0,30,43,12,13,48.0
Adam Webster,eng ENG,Brighton,DF,30-125,617.0,11,8,0,0,0,0,0.0,0.5,7,40,2,0.00,0.00,0.00,0.07,N/a,N/a,N/a,N/a,100.0,0.15,0.00,15.3,429,85.6,7934,169,213,40,3,32,2,0,40,10,1.46,3,0.44,8,5,11,6,12,9,3,14,569,84,279,271,22,8,3,33.3,66.7,326,1142,7,2,0,3,1,384,2,5,2,1,1,20,17,4,81.0
